_id,name,native_name,birth_day,birth_month,gender,role,status,species,height,hair_color,has_hair,image_profile,image_banner,affiliations,abilities,forms,tags,game_properties
char_akumai,Akumai,アクマイ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511857/entertainment_hub/characters/char_char_akumai_profile.png,,,,,,
char_aladdin,Aladdin,アラディン,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511967/entertainment_hub/characters/char_char_aladdin_profile.jpg,,,,,,
char_alan,Alan,アラン,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781524503/entertainment_hub/characters/char_char_alan_profile.png,,,,,,
char_albion,Albion,アルビオン,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512097/entertainment_hub/characters/char_char_albion_profile.jpg,,,,,,
char_alex_louis_armstrong,Alex Louis Armstrong,アレックス・ルイ・アームストロング,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781524394/entertainment_hub/characters/char_char_alex_louis_armstrong_profile.jpg,,,,,,
char_alfons_heiderich,Alfons Heiderich,,,,,main,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781524505/entertainment_hub/characters/char_char_alfons_heiderich_profile.jpg,,,,,,
char_alice,Alice,アリーチェ,,,female,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781513083/entertainment_hub/characters/char_char_alice_profile.png,,,,,,
char_all_hunt_grount,All-Hunt Grount,オールハント・グラント,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512438/entertainment_hub/characters/char_char_all_hunt_grount_profile.jpg,,,,,,
char_ally,Ally,アリー,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512110/entertainment_hub/characters/char_char_ally_profile.jpg,,,,,,
char_alma,Alma,アルマ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512620/entertainment_hub/characters/char_char_alma_profile.png,,,,,,
char_alphonse_elric,Alphonse Elric,アルフォンス・エルリック,,,male,main,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781524383/entertainment_hub/characters/char_char_alphonse_elric_profile.jpg,,,,,,
char_alvida,Alvida,アルビダ,14,3,female,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511973/entertainment_hub/characters/char_char_alvida_profile.jpg,,,,,,
char_amado,Amado,アマド,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511591/entertainment_hub/characters/char_char_amado_profile.png,,,,,,
char_amane_ubuyashiki,Amane Ubuyashiki,産屋敷あまね,,,female,background,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781531261/entertainment_hub/characters/char_char_amane_ubuyashiki_profile.jpg,,,,,,
char_amaru,Amaru,アマル,,,,main,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512946/entertainment_hub/characters/char_char_amaru_profile.jpg,,,,,,
char_amazon,Amazon,アマゾン,4,8,female,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512050/entertainment_hub/characters/char_char_amazon_profile.png,,,,,,
char_ameyuri_ringo,Ameyuri Ringo,林檎雨由利,7,6,female,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511439/entertainment_hub/characters/char_char_ameyuri_ringo_profile.png,,,,,,
char_ami,Ami,亜美,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511239/entertainment_hub/characters/char_char_ami_profile.png,,,,,,
char_anana_charlotte,Anana Charlotte,シャーロット・アナナ,17,4,female,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512423/entertainment_hub/characters/char_char_anana_charlotte_profile.png,,,,,,
char_ange,Ange,アンジェ,,,female,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512971/entertainment_hub/characters/char_char_ange_profile.png,,,,,,
char_anjou,Anjou,アンジョウ,1,1,male,background,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512527/entertainment_hub/characters/char_char_anjou_profile.png,,,,,,
char_anka_rheinberger,Anka Rheinberger,アンカ・ラインベルガー,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512592/entertainment_hub/characters/char_char_anka_rheinberger_profile.png,,,,,,
char_anko_mitarashi,Anko Mitarashi,みたらしアンコ,24,10,female,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511528/entertainment_hub/characters/char_char_anko_mitarashi_profile.png,,,,,,
char_ann,Ann,アン,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781589818/entertainment_hub/characters/char_char_ann_profile.png,,,,,,
char_annie_leonhart,Annie Leonhart,アニ・レオンハート,22,3,female,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512554/entertainment_hub/characters/char_char_annie_leonhart_profile.jpg,,,,,,
char_annie_no_chichi,Annie no Chichi,アニの父,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512550/entertainment_hub/characters/char_char_annie_no_chichi_profile.png,,,,,,
char_announcer,Announcer,アナウンサー,,,,background,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781530854/entertainment_hub/characters/char_char_announcer_profile.png,,,,,,
char_anthony_carter,Anthony Carter,アンソニー・カーター,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511687/entertainment_hub/characters/char_char_anthony_carter_profile.png,,,,,,
char_ao,Ao,青,1,8,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511368/entertainment_hub/characters/char_char_ao_profile.jpg,,,,,,
char_aoba_yamashiro,Aoba Yamashiro,山城アオバ,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511215/entertainment_hub/characters/char_char_aoba_yamashiro_profile.png,,,,,,
char_aoda,Aoda,アオダ,1,10,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511484/entertainment_hub/characters/char_char_aoda_profile.jpg,,,,,,
char_aoi,Aoi,アオイ,,,female,background,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781523997/entertainment_hub/characters/char_char_aoi_profile.png,,,,,,
char_aoi_rokusho,Aoi Rokusho,緑青アオイ,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511182/entertainment_hub/characters/char_char_aoi_rokusho_profile.png,,,,,,
char_aoi_toudou,Aoi Toudou,東堂葵,23,9,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512752/entertainment_hub/characters/char_char_aoi_toudou_profile.png,,,,,,
char_aphelandra,Aphelandra,アフェランドラ,1,8,female,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511779/entertainment_hub/characters/char_char_aphelandra_profile.png,,,,,,
char_apoo_scratchmen,Apoo Scratchmen,スクラッチメン・アプー,19,3,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781513008/entertainment_hub/characters/char_char_apoo_scratchmen_profile.jpg,,,,,,
char_aramaki,Aramaki,アラマキ,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512426/entertainment_hub/characters/char_char_aramaki_profile.png,,,,,,
char_arata_nitta,Arata Nitta,新田新,,,male,background,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512747/entertainment_hub/characters/char_char_arata_nitta_profile.png,,,,,,
char_araumi_funato,Araumi Funato,舟戸アラウミ,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511606/entertainment_hub/characters/char_char_araumi_funato_profile.png,,,,,,
char_araya,Araya,アラヤ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511520/entertainment_hub/characters/char_char_araya_profile.jpg,,,,,,
char_arayoshi_hatori,Arayoshi Hatori,葉鳥新義,22,3,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511669/entertainment_hub/characters/char_char_arayoshi_hatori_profile.png,,,,,,
char_arbell_achino,Arbell Achino,アルベル・アッチーノ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511758/entertainment_hub/characters/char_char_arbell_achino_profile.jpg,,,,,,
char_armin_arlert,Armin Arlert,アルミン・アルレルト,3,11,male,main,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512530/entertainment_hub/characters/char_char_armin_arlert_profile.png,,,,,,
char_armin_no_ojii_san,Armin no Ojii-san,アルミンのお祖父さん,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512680/entertainment_hub/characters/char_char_armin_no_ojii_san_profile.jpg,,,,,,
char_armored_gorilla,Armored Gorilla,アーマードゴリラ,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781531125/entertainment_hub/characters/char_char_armored_gorilla_profile.jpg,,,,,,
char_arrow,Arrow,アロー,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512349/entertainment_hub/characters/char_char_arrow_profile.png,,,,,,
char_artoria_pendragon,Artoria Pendragon,アルトリア・ペンドラゴン,,,female,background,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781590143/entertainment_hub/characters/char_char_artoria_pendragon_profile.png,,,,,,
char_artur_blouse,Artur Blouse,アルトゥル・ブラウス,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512577/entertainment_hub/characters/char_char_artur_blouse_profile.png,,,,,,
char_as_nodt,As Nodt,エス・ノト,29,12,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781523899/entertainment_hub/characters/char_char_as_nodt_profile.jpg,,,,,,
char_asa,Asa,アサ,,,female,main,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781523950/entertainment_hub/characters/char_char_asa_profile.png,,,,,,
char_asagiri,Asagiri,朝霧,,,,background,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781524002/entertainment_hub/characters/char_char_asagiri_profile.png,,,,,,
char_asaki,Asaki,アサキ,,,,background,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511642/entertainment_hub/characters/char_char_asaki_profile.png,,,,,,
char_ashina,Ashina,アシナ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511530/entertainment_hub/characters/char_char_ashina_profile.png,,,,,,
char_ashina_uzumaki,Ashina Uzumaki,うずまきアシナ,,,male,background,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511511/entertainment_hub/characters/char_char_ashina_uzumaki_profile.png,,,,,,
char_ashinaga,Ashinaga,足長,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781523980/entertainment_hub/characters/char_char_ashinaga_profile.png,,,,,,
char_ashisogi_jizo,Ashisogi Jizo,疋殺地蔵,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781523840/entertainment_hub/characters/char_char_ashisogi_jizo_profile.jpg,,,,,,
char_ashura_ootsutsuki,Ashura Ootsutsuki,大筒木アシュラ,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511489/entertainment_hub/characters/char_char_ashura_ootsutsuki_profile.png,,,,,,
char_askin_nakk_le_vaar,Askin Nakk Le Vaar,アスキン・ナックルヴァール,6,6,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781523853/entertainment_hub/characters/char_char_askin_nakk_le_vaar_profile.png,,,,,,
char_assistant,Assistant,アシスタント,,,female,background,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512818/entertainment_hub/characters/char_char_assistant_profile.png,,,,,,
char_asuma_kagemori,Asuma Kagemori,影森アスマ,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781523972/entertainment_hub/characters/char_char_asuma_kagemori_profile.jpg,,,,,,
char_asuma_sarutobi,Asuma Sarutobi,猿飛アスマ,18,10,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511197/entertainment_hub/characters/char_char_asuma_sarutobi_profile.png,,,,,,
char_aswa,Aswa,アスワ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512118/entertainment_hub/characters/char_char_aswa_profile.png,,,,,,
char_atlas,Atlas,暴,22,3,female,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512471/entertainment_hub/characters/char_char_atlas_profile.png,,,,,,
char_atomos,Atomos,アトモス,19,3,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512075/entertainment_hub/characters/char_char_atomos_profile.jpg,,,,,,
char_atsui,Atsui,アツイ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511340/entertainment_hub/characters/char_char_atsui_profile.png,,,,,,
char_atsuya_kusakabe,Atsuya Kusakabe,日下部篤也,,,male,background,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512750/entertainment_hub/characters/char_char_atsuya_kusakabe_profile.jpg,,,,,,
char_augur_van,Augur Van,ヴァン･オーガー,5,10,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512012/entertainment_hub/characters/char_char_augur_van_profile.png,,,,,,
char_aunt,Aunt,ババ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512019/entertainment_hub/characters/char_char_aunt_profile.png,,,,,,
char_aurille,Aurille,アウリール,,,,background,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512627/entertainment_hub/characters/char_char_aurille_profile.png,,,,,,
char_avalo_pizarro,Avalo Pizarro,アバロ・ピサロ,30,9,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511925/entertainment_hub/characters/char_char_avalo_pizarro_profile.jpg,,,,,,
char_axel,Axel,アクセル,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512973/entertainment_hub/characters/char_char_axel_profile.jpg,,,,,,
char_ayame,Ayame,アヤメ,,,female,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511188/entertainment_hub/characters/char_char_ayame_profile.png,,,,,,
char_azami,Azami,アザミ,,,female,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781523770/entertainment_hub/characters/char_char_azami_profile.png,,,,,,
char_azami_no_haha,Azami no Haha,アザミの母,,,female,background,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781524038/entertainment_hub/characters/char_char_azami_no_haha_profile.png,,,,,,
char_bg9,BG9,ベー・ゲー・ノイン,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781523886/entertainment_hub/characters/char_char_bg9_profile.png,,,,,,
char_babe,Babe,,19,6,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512176/entertainment_hub/characters/char_char_babe_profile.jpg,,,,,,
char_baby_5,Baby 5,ベビー5,15,5,female,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512182/entertainment_hub/characters/char_char_baby_5_profile.jpg,,,,,,
char_baccarat,Baccarat,バカラ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781513053/entertainment_hub/characters/char_char_baccarat_profile.jpg,,,,,,
char_bacura,Bacura,バキュラ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512244/entertainment_hub/characters/char_char_bacura_profile.jpg,,,,,,
char_bad,Bad,バッド,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781531206/entertainment_hub/characters/char_char_bad_profile.png,,,,,,
char_baishin,Baishin,白沙,,,male,main,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781523945/entertainment_hub/characters/char_char_baishin_profile.jpg,,,,,,
char_baiu,Baiu,バイウ,30,5,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511166/entertainment_hub/characters/char_char_baiu_profile.png,,,,,,
char_baji,Baji,ばじ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511295/entertainment_hub/characters/char_char_baji_profile.jpg,,,,,,
char_bakkin,Bakkin,バッキン,12,4,female,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512424/entertainment_hub/characters/char_char_bakkin_profile.jpg,,,,,,
char_bambietta_basterbine,Bambietta Basterbine,バンビエッタ・バスターバイン,6,8,female,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781523825/entertainment_hub/characters/char_char_bambietta_basterbine_profile.jpg,,,,,,
char_banchina,Banchina,バンキーナ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511744/entertainment_hub/characters/char_char_banchina_profile.png,,,,,,
char_bang,Bang ,バング,,,male,main,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781531167/entertainment_hub/characters/char_char_bang_profile.png,,,,,,
char_banken_man,Banken Man,番犬マン,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781531201/entertainment_hub/characters/char_char_banken_man_profile.png,,,,,,
char_bankuro,Bankuro,バンクロ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512374/entertainment_hub/characters/char_char_bankuro_profile.png,,,,,,
char_banna,Banna,バンナ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511379/entertainment_hub/characters/char_char_banna_profile.png,,,,,,
char_bansai,Bansai,板斎,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511301/entertainment_hub/characters/char_char_bansai_profile.jpg,,,,,,
char_bao_huang,Bao Huang,バオファン,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512481/entertainment_hub/characters/char_char_bao_huang_profile.jpg,,,,,,
char_barbarossa,Barbarossa,バルバロッサ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511952/entertainment_hub/characters/char_char_barbarossa_profile.jpg,,,,,,
char_bard,Bard,バルド,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781524445/entertainment_hub/characters/char_char_bard_profile.jpg,,,,,,
char_bariete,Bariete,バリエテ,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512418/entertainment_hub/characters/char_char_bariete_profile.png,,,,,,
char_baron_omatsuri,Baron Omatsuri,,,,,main,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781513062/entertainment_hub/characters/char_char_baron_omatsuri_profile.jpg,,,,,,
char_barrel,Barrel,バレル,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512342/entertainment_hub/characters/char_char_barrel_profile.png,,,,,,
char_barry_the_chopper,Barry the Chopper,バリー・ザ・チョッパー,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781524388/entertainment_hub/characters/char_char_barry_the_chopper_profile.png,,,,,,
char_bart,Bart,バルト,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512658/entertainment_hub/characters/char_char_bart_profile.jpg,,,,,,
char_bartolomeo,Bartolomeo,バルトロメオ,6,10,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512130/entertainment_hub/characters/char_char_bartolomeo_profile.png,,,,,,
char_basil_hawkins,Basil Hawkins,バジル・ホーキンス,9,9,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512060/entertainment_hub/characters/char_char_basil_hawkins_profile.png,,,,,,
char_bastille,Bastille,バスティーユ,14,7,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512463/entertainment_hub/characters/char_char_bastille_profile.png,,,,,,
char_batman,Batman,バットマン,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512228/entertainment_hub/characters/char_char_batman_profile.png,,,,,,
char_batta_no_noroi,Batta no Noroi,バッタの呪い,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512761/entertainment_hub/characters/char_char_batta_no_noroi_profile.png,,,,,,
char_bau,Bau,バウ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781523940/entertainment_hub/characters/char_char_bau_profile.jpg,,,,,,
